CNES,FANTASIA
0068527,DANIELLE NEGRELLO CIRURGIA PLASTICA
0068608,HEALTH CONECCTION MANAGEMENT
0068675,CONS MEDICO EVANDRO BARBIERI
0069000,KATIA HELENA SCHLESNER
0069264,VITAL SERVICOS DE ENFERMAGEM LTDA
0069310,NAZARIO SERVICOS MEDICOS
0069329,UNIDADE DE PRONTO ATENDIMENTO 24H SERGIO DE AZEVEDO SARAIVA
0069337,ENIOPED SERVICOS MEDICOS LTDA
0069442,IMEDIC MEDICINA INTELIGENTE
0069493,GRELLERT FISIOTERAPIA E PILATES
0069566,RESIDENCIAL GERIATRICO BOM SOSSEGO
0069574,RESIDENCIAL SENIOR BELLA VITA
0069604,BARCELOS RIOS
0069981,PANVEL FARMACIAS
0070092,FERNANDO TERRA DOS SANTOS
0070149,CLINICA MEDICA GEISOM JUCHEM
0070157,CHANA TISCHER SULZBACHER
0070335,K FREY FISIOTERAPIA LTDA
0070580,EMANUELA TODESCHINI MENEGOTTO
0070653,FSMED CONSULT
0071234,LEONARDO ZANUZ UROLOGIA
0071269,CASSIA ELISA ROCHA
0071277,HOSPITAL BENEFICENTE SAO PEDRO 02
0071315,MARIA LUCIA DE REIS ZUBARAN
0071439,MARCIA JULIANA FISCHER E CIA LTDA
0071609,SORRIPASSO CLINICA ODONTOLOGICA
0071811,POLIMEDICA SAUDE
0071838,DOUTOR PASSOS ATIVIDADES MEDICAS
0072346,CRISIANE VENSON BACHA FONOAUDIOLOGA
0072427,FARMACIAS ASSOCIADAS FILIAL 7
0072435,FARMACIAS ASSOCIADAS FILIAL 8
0072443,FARMACIAS ASSOCIADAS FILIAL 4
0072621,ASSOCIACAO BENEFICIENTE SAO MIGUEL ABSM
0072834,CLINICA MEDICA NARVAEZ LTDA
0073008,DRA VALERIA WINKALER J DELLAVALLE
0073083,FELIPE OLIVA DETANICO
0073091,FREDERICO DIEFENTHAELER KRAHE
0073253,TOMOCENTER MOINHOS DE VENTO
0073296,CLINICA DE RETINA E GLAUCOMA DO VALE LTDA
0073768,GLAIR CARDOSO BAILON
0074128,HISTOMED I
0074152,HISTOMED II
0074411,FERNANDO JOCKYMANN PNEUMOLOGISTA E PEDIATRIA LTDA
0074500,SAUDE E ESTETICA OCULAR
0074535,SAO JOAO FARMACIAS FILIAL 6
0074543,RAQUEL ABRAAO DAS NEVES
0075094,FERNANDA NIEDERAUER URATANI
0075256,CLINICA GIACOMELLI
0076260,REMEX ESPECIAL
0076287,SAO JOAO FARMACIAS
0076309,HISTOMED
0076724,LAURA ZAMBONATO COSTAMILAN
0076821,SORRIRE CLINICA ODONTOLOGICA
0077046,CLINICA M E M
0077062,MARRONI E MARRONI ALERGOLOGIA
0077569,DANIEL UEMURA
0077585,EXERCITA FISIOTERAPIA
0077674,CLINICA MEDICA MALDONADO E ARANOVICH
0077704,GALLINATI E TELLES ODONTOLOGIA INTEGRADA
0077992,CLINICA MEDICA EDUARDO HINTZ GERMANOS EIRELI
0078018,MARILIA DE LIMA MURATT EIRELI
0078034,GERMANOS MENNA BARRETO LTDA
0078085,UNIMED NOROESTE RS
0078638,LUCIELLY DA ROCHA TERRES
0078875,XAVIER E BARELLA SERVICOS MEDICOS
0078883,HENRIQUE ZECHLINSKI XAVIER DE FREITAS
0078891,THAIS BARELLA
0079324,CONSULTORIO ODONTOLOGCIO CLAUDIA ISABEL BINS
0079391,JOSEANI BRANDAO
0079677,CRESTANI MEDICINA E ODONTOLOGIA
0079790,LEONARDO ZANUZ
0080020,EDUARDA WITZ
0080063,ALEG STUDIO PILATES
0080179,INNOVARE ODONTOLOGIA ESPECIALIZADA
0080209,ANNA JULIA DE BORBA ANDRES LTDA
0080276,SHELA JULIANA BOTELHO DE PAULA PELLEGRINI
0080306,UNIDADE SENTINELA EM SAUDE DO TRABALHADOR CAMINHONEIRO
0080322,WSSR PSICOLOGIA E SAUDE MENTAL LTDA
0080535,LARISSA PETERMANN JUNG
0080780,SERVICO DE ATENCAO DOMICILIAR MELHOR EM CASA
0080888,ODONTOCOMPANY
0080969,ALETEIA CRESTANI
0081485,MIZUSHIMA SERVICOS MEDICOS
0081663,CLINICA MEDICA RW LTDA
0081728,CONFORT SERVICOS EM SAUDE HOMECARE LTDA
0081787,FRANCIELE DALLE MOLLE
0081949,SAO JOAO FARMACIAS
0082015,CLINICA KM DE SERVICOS MEDICOS LTDA
0082368,NEUROPSI
0082546,MLM SERVICOS MEDICOS LTDA
0083283,ACUPUNTURA TADIOTTO SAUDE EQUILIBRIO
0083380,CONSULTORIO MEDICO CARLA FORGIARINI SALDANHA
0083631,JOELE C B LERIPIO CIA LTDA
0083658,CENTRAL DE IMUNIZACAO
0083704,LUCIANO NUNES DURO
0083763,VIVIANE RAQUEL BUFFON
0083771,VANESSA BAVARESCO
0083917,GABRIELA CAOVILLA FELIN
0083933,LETICIA OSANAI
0084174,ANDERSON ODONTOLOGIA
0084344,BOARO SERVICOS DE ORTOPEDIA E TRAUMATOLOGIA LTDA
0084352,DIESSIKA PEREIRA RODRIGUES
0084379,SAO JOAO FARMACIAS
0084514,AMBRA URGENCIAS E EMERGENCIAS MEDICAS LTDA
0084654,CLINICA VANESSA TEICHAMNN
0084697,BELLA VIDA
0084719,ANDRE LUIS GRACHTEN
0084794,PAULO RENATO ILLA FONT PALMA
0084824,RAFAEL MARIANO DA ROCHA BANDEIRA DE MELLO
0084832,DENISE ALBUQUERQUE FARINA
0085286,GIANA DANIELA HEXSEL
0085308,ANA PAULA GRACHTEN
0085367,GRASSOTTI PSICOLOGIA
0085448,WILLIAM DUARTE DE MEDEIROS
0085812,TOBIAS GAVIRAGHI SOCIEDADE SIMPLES LIMITADA
0085847,UNIMED FRONTEIRA NOROESTERS
0085995,SAO JOAO FARMACIAS
0086002,DOCCTOR MED NOVO HAMBURGO
0086150,UNIMED PORTO ALEGRE LABORATORIO DIVINA
0086495,LUCIETTO ODONTOLOGIA INTEGRADA LTDA
0086509,FELIPE LOPES SERVICOS MEDICOS
0086584,VINCULAR
0086606,AKEMI SCARLET SHIBA
0086622,JTK SERVICOS MEDICOS
0086703,BELLUNESI CLINICA DE ODONTOLOGIA
0086770,J J L M B ATIVIDADES DE ENFERMAGEM LTDA
0087017,CLIDENT
0087637,PRO ODONTOLOGIA
0087696,EDSON VAGNER SCOTTI
0087777,CLINICA ODONTOLOGICA EDSON MAIA LTDA
0087823,UNIRAD
0087904,LETICIA CAMARGO GAMARRA PSICOLOGIA
0088471,L M CARE
0088552,BERNARDO PAVINATO MARSON
0088919,ANA CRISTINA MORAES RAMOS CACERES
0089052,MOVILCOR
0089176,HOSPITAL SAO JOAO BATISTA FILIAL 01
0089249,ENDOSCOPIA VALE DOS SINOS
0089273,PAULO ROBERTO LUCHESI SOARES
0089389,SAO JOAO FARMACIAS
0089494,NEURALL CLINICA MEDICA LTDA
0089591,ELVIO BRUNO CAMPAGNOLO
0089664,CML LABORATORIO
0089788,AMBULATORIO DE CAMPANHA COVID 19 SANTA CRUZ DO SUL
0089834,DROGA RAIA RS MENINO DEUS
0089877,DROGA RAIA RS TRISTEZA
0090220,DROGARAIA LJ0314
0090344,LUDMILA FERREIRA TABARES ZULUAGA
0092002,LABOR PRINT LABORATORIO DE PROTESES DENTARIAS
0092320,SAINT GERMAN SERVICOS MEDICOS
0093467,NUTRITION THINKING
0094595,RODRIGO CHEMIN ZANINI
0094609,KELLEN LOPES DA LUZ BRUM NUTRICIONISTA
0100226,SAO JOAO FARMACIAS 17
0100293,RESPIRE E OUCA BEM FISIOTERAPIA E FONOAUDIOLOGIA LTDA
0100323,VIVIAN CLINICA MEDICA
0100641,ESF2 EQUIPE SAUDE DA FAMILIA
0100668,HOSPITAL DE CAMPANHA COVID 19
0100811,SHARA PSICOLOGIA
0100838,ASILO DA VELHICE NOSSA SENHORA MEDIANEIRA
0101486,AMPLIAR ASSESSORIA E ATENDIMENTO PSICOLOGICO
0101761,LINO MARCOS ZANATTA
0101788,FARMACIA MUNICIPAL
0101796,LORI NIDIA SCHMITT
0101907,ANALUIZA SAVARIS
0101982,FARMACIA CRUZ VERMELHA VIDA FARMACIA
0102431,EMECARDIO
0102458,DAVID CRUZ SERVICOS MEDICOS
0102725,ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SANTIAGO
0103004,ESF QUINTA DA BOA VISTA
0103012,HOSPITAL DE CAMPANHA COVID 19
0103187,CENTRO DE ATENDIMENTO A PACIENTES COM SINTOMAS RESPIRATORIOS
0103357,RIABILITARE CLINICA DE FISIOTERAPIA E PILATES
0103411,ANA PAULA DOMINGUES DAMASCENO LTDA
0104043,CENTRO DE DOENCAS RESPIRATORIAS AGUDAS COVID 19
0104485,SAO JOAO FARMACIAS 18
0104523,HOSPITAL DE CAMPANHA COVID 19
0104620,R A BIECK ODONTOLOGIA LTDA
0104647,NUTRIAGRO
0104701,CENTRAL DE VIGILANCIA EM SAUDE GLORINHA
0104760,HOSPITAL DE CAMPANHA COVID19 RIO BRANCO
0104922,SAO JOAO FARMACIAS 16
0104973,HOSPITAL DE CAMPANHA COVID 19 HU
0105139,BRUNA SUTIL LTDA
0105198,PSICOLOGIA BISSANI
0105228,RESIDENCIAL TERAPEUTICO ESPERANCA
0105538,JANINE LAIS RAUBER
0105546,ADRIANO IMPERATORI
0105570,ANALARA LUNARDI MOUSQUER EIRELI
0106259,DROGARIA TAQUARI LTDA
0106267,FARMACIA POPULAR
0106275,FARMACIA POPULAR
0106283,REDE MAXXI ECONOMICA
0106291,REDE MAXXI ECONOMICA
0106399,SAO JOAO FARMACIAS
0106666,AGROPECUARIA MACHADO
0106887,RESIDENCIAL GERIATRICO SOLAR DO SOSSEGO
0106968,FARMACIA MUNICIPAL
0106976,LABORATORIO MUNICIPAL
0107069,LAR ACOLHEDOR GERIATRICO N SRA APARECIDA
0107166,HOSPITAL DE CAMPANHA COVID 19
0107174,ORTIZ ODONTOLOGIA
0107301,FARMACIA POPULAR
0107360,FARMACIA DO IPAM LTDA
0107549,CASA DE REPOUSO SHEKINAH
0107859,CONSULTORIO DE FISIOTERAPIA
0107891,ALINE FERNANDA KOCH EIRELI
0108073,SAO JOAO FARMACIAS 33
0108170,LAR PARA IDOSOS LONGA VIDA
0108227,CELSO SOARES BRUM
0108243,ELISANGELA POZZO SOLDERA
0108340,SAUDE PRISIONAL
0108383,CLINICA OFTALMOLOGICA MARIA CELINA
0108588,THAIS REIS GONACALVES
0108634,PREVENT SAUDE
0108979,GMC CLINICA MEDICA LTDA
0108995,GENERAR REPRODUCAO HUMANA
0109002,PJW SERVICOS MEDICOS
0109010,ALINHASMILE ODONTOLOGIA LTDA
0109029,KARLO BITTENCOURT JOHNSTON
0109231,SINAPSE FISIOTERAPIA
0109754,CLINICA DA CEFALEIA
0109770,MELHOR EM CASA
0109932,CLINICA PEDIATRICA CRESCER
0110051,SALVATE GESTAO MULTIDISCIPLINAR EM SAUDE LTDA
0110078,CLINICA NUTRICIONAL DANIELE AMORIM BENFICA
0110183,LABORATORIO ANALYSIS
0110507,VIANNAMED
0110523,ORAL UNIC
0110574,CASALI CASALI LTDA
0110752,TRAVESSIA CLINICA DE ATENDIMENTO PSICOLOGICO
0110779,FZ PESQUISA E SERVICOS EM CARDIOLOGIA CLINICA
0110795,CACHOEIRA SERVICOS MEDICOS E ODONTOLOGICOS LTDA
0110868,ELIANDERSON DO ROSARIO
0110957,SAMU 192 CAXIAS DO SUL USB 07
0111082,SAO JOAO FARMACIAS
0111260,SAO JOAO FARMACIAS
0111317,SAO JOAO FARMACIAS
0111333,SAO JOAO FARMACIAS
0111341,FARMACIAS MELHOR PRECO
0111368,SAO JOAO FARMACIAS
0111473,FARMACIAS MELHOR PRECO
0111805,RESIDENCIAL CATIA MARQUES
0112038,AGI HOSPITALAR
0112232,GISELE SILVA SILVEIRA
0112569,SAO JOAO FARMACIAS
0112577,FARMACIAS MELHOR PRECO
0112720,IOA PORTO ALEGRE
0113352,SULMEDICINE SOLUCOES EM SAUDE
0113409,MELINE RIBEIRO SCHMECHEL
0113476,CENTRAL DE ABASTECIMENTO FARMACEUTICO
0113808,PRO FISIOCLIN FISIOTERAPIA E PILATES
0113999,WITTA CLINICA ODONTOLOGICA
0114057,ODONTO CENTER
0114111,CASA DE REPOUSO ACONCHEGO
0114138,CLINICA MEDICA PELEGRINI
0114448,CLINICA MEDICA ALIANCE
0114480,CLINICA DE IMPLANTODONTIA AVANCADA
0114677,SAO JOAO FARMACIAS
0114820,CLAUDIA DE MORAES COLISSE DA ROSA ASSISTENCIA MEDICA EIRELI
0114839,CRISTINA CARDOSO SERVICOS MEDICOS EIRELI
0114871,SAO JOAO FARMACIAS
0115029,SAO JOAO FARMACIAS
0115037,SAO JOAO FARMACIAS
0115193,SAO JOAO FARMACIAS
0115215,DENISE ALBARELLO
0115223,HUMANIZARE SERVICOS MEDICOS
0115266,SAO JOAO FARMACIAS
0115320,SAO JOAO FARMACIAS
0115339,ODONTOCELL
0115398,SAO JOAO FARMACIAS
0115495,CLINICA FORTIUS
0115975,CENTRO DE EXCELENCIA EM TREINAMENTO FISICO EQUIPE MARCELO SA
0115983,FAMILIA FITNESS
0116238,ELO ODONTOLOGIA INTEGRADA
0116351,DOMUM
0116475,CARLOS ANTONIO WALKER
0116513,SPERO CENTRO DE ONCOLOGIA
0116785,ESPACO CRESCER
0117021,M ULGUIM GONCALVES
0117129,SAO JOAO FARMACIAS
0117188,GL SERVICOS DE ENFERMAGEM
0117331,HOMEO FITO
0117374,ANATACHA DE QUADROS
0117390,SAO JOAO FARMACIAS
0117730,MARFRIG
0117919,RENATA SANTONI DO AMARAL
0118222,CONSULTORIO MEDICO DR ALEXANDRE PALM
0118354,EAP BELA VISTA
0118389,ACADEMIA DE SAUDE CANOAS
0118400,FARMACIAS MELHOR PRECO
0118451,AMENT AMBULATORIO DE SAUDE MENTAL
0118583,SAO JOAO FARMACIAS
0118672,SAO JOAO FARMACIAS FILIAL 8
0118680,LABORATORIO DE ANALISES CLINICAS ESCOLA UPF
0118699,SAO JOAO FARMACIAS
0118753,SAO JOAO FARMACIAS
0118761,FARMACIAS MELHOR PRECO
0118818,LAR DOS IDOSOS VO LUIZA
0118826,CAMILA BECKER ROGGIA
0118850,CHIELLA ODONTO
0118869,SAO JOAO FARMACIAS FILIAL 3
0119075,SAO JOAO FARMACIAS FILIAL 7
0119091,MAPI ACADEMIA
0119113,CEJUC SPORTS
0119180,MAIARA COSTA BEBER
0119210,REABILITAR
0119229,CENTRO MEDICO E TERAPEUTICO ARVORE DA VIDA
0119237,SAO JOAO FARMACIAS FILIAL 1
0119644,CENTRO CARDIOLOGICO DE TEUTONIA
0126780,SAO JOAO FARMACIAS
0126799,AMBULATORIO COVID 19
0127043,SAO JOAO FARMACIAS FILIAL 6
0127140,SAO JOAO FARMACIAS FILIAL 5
0127191,DALLA LANA SANTOS SERVICOS MEDICOS
0127205,EQUIPE DE ATENCAO PRIMARIA BETTIM
0127264,TODENDI ODONTOLOGIA
0127310,SAO JOAO FARMACIAS
0127442,CLINICA TISATTO LTDA
0127477,SAO JOAO FARMACIAS
0127558,MURARO FITNESS TREINAMENTO INDIVIDUALIZADO
0127922,EDUARDO BALZANO MAULAZ
0128430,CLINICA ECHOUS
0128872,FISIOABREU
0128988,MARIA INES CORLETA EVANGELISTA
0128996,AMOR SAUDE
0129003,AMOR SAUDE
0129550,ANA PAULA GARCIA FERNANDES
0130257,ZAGONEL ODONTOLOGIA E SAUDE
0130419,HOSPITAL DE CAMPANHA COVID 19
0130818,B M D C F T ATIVIDADES DE ENFERMAGEM LTDA
0130834,BRUNO FELIPE DE OLIVEIRA SILVA EIRELI
0131032,T R ATHAYDE
0131083,DR VINICIUS ARANTES MEDICINA PERSONALIZADA
0131121,LUCAS XAVIER DA LUZ
0131466,CLINICA BISOGNIN
0131563,RAMALHO E MASSENA SOCIEDADE SIMPLES
0131660,T T M L J K ENFERMAGEM E APOIO A SAUDE LTDA
0131717,RESIDENCIAL VIDA SAUDE BEM ESTAR DO IDOSO
0131822,SAO JOAO FARMACIAS
0131849,INSTITUTO DA FACE
0131938,JBS AVES LTDA
0132098,SAO JOAO FARMACIAS
0132195,FARMACIAS MELHOR PRECO
0132209,SAO JOAO FARMACIAS
0132314,SAO JOAO FARMACIAS
0132616,PA
0132780,COMERCIO DE MEDICAMENTOS BRAIR LTDA
0133124,SAO JOAO FARMACIAS
0133280,SAO JOAO FARMACIAS
0133450,SAO JOAO FARMACIAS
0133507,SAO JOAO FARMACIAS
